iter	Passed	Remaining
0	6692	127166
1	14067	126609
2	21569	122226
3	28355	113423
4	34005	102017
5	39627	92464
6	45288	84107
7	50841	76262
8	56492	69046
9	62077	62077
10	67595	55305
11	73157	48771
12	78701	42377
13	84388	36166
14	89897	29965
15	95540	23885
16	101137	17847
17	106704	11856
18	112535	5922
19	117570	0
