iter	Logloss
0	0.0939019757
1	0.03690523378
2	0.01996806996
3	0.012547625
4	0.008688466095
5	0.005990784847
6	0.004226682007
7	0.003440792975
8	0.00283296475
9	0.002388471178
10	0.002140442774
11	0.001803992229
12	0.001575065486
13	0.001285593828
14	0.00116904958
15	0.001027187131
16	0.0009325864635
17	0.0008497262717
18	0.0007540725584
19	0.0007540201733
